AAVE CONTRACTS ON POLYGON V-2,
Contracts,Address
LendingPoolAddressesProvider,0xd05e3E715d945B59290df0ae8eF85c1BdB684744
LendingPoolAddressesProviderRegistry,0x3ac4e9aa29940770aeC38fe853a4bbabb2dA9C19
LendingPool,0x8dff5e27ea6b7ac08ebfdf9eb090f32ee9a30fcf
LendingPoolCollateralManager,0xa39599424642d9fd35e475ef802eddf798dc555b
LendingPoolConfigurator,0x26db2b833021583566323e3b8985999981b9f1f3
LendingRateOracle,0x17f73aead876cc4059089ff815eda37052960dfb
Price Oracle,0x0229f777b0fab107f9591a41d5f02e4e98db6f2d
ProtocolDataProvider,0x7551b5D2763519d4e37e8B81929D336De671d46d
WETHGateway,0xAeBF56223F044a73A513FAD7E148A9075227eD9b
IncentivesController,0x357D51124f59836DeD84c8a1730D72B749d8BC23
AaveCollector,0x7734280A4337F37Fbf4651073Db7c28C80B339e9
UiPoolDataProvider,0x0d24b23DBaB0dc1A6F58029bA94F94Ff0D5382c2
UiIncentiveDataProvider,0x645654D59A5226CBab969b1f5431aA47CBf64ab8
